dataset_id,dataset_name,candidate_gene,mechanism_id,target,present_in_dataset,test_performed,test_type,effect_size,p_value,direction,claim_level_allowed,clean_validation_claim_allowed,allowed_claim_language,prohibited_claim_language,q_value,support_tier
gse138852,gse138852,BSG,M4,6e10/Aβ,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,NQO1,M3,Iba1,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,SOD2,M3,Iba1,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,SOD1,M3,Iba1,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,GPX4,M3,Iba1,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSB,M1,NeuN,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,LAPTM5,M1,NeuN,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSD,M1,NeuN,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSD,M2,NeuN,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,NPC2,M1,NeuN,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,LAMP2,M1,NeuN,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
